epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2891,1.58639,4.49698,3.16205,0.0925,0.0869,0.22623,0.03611,0.01453,1.15665,3.38638,2.68036,0.02884,8.181e-05,8.181e-05,8.181e-05
2,126.755,1.19803,3.37419,2.38688,0.03032,0.85528,0.17247,0.17228,0.10574,0.95471,2.62194,2.29699,0.01326,0.000164161,0.000164161,0.000164161
3,221.608,0.96636,2.70973,2.02893,0.01322,0.86369,0.18516,0.21848,0.1629,0.77129,2.59293,1.92835,0.01571,0.000237513,0.000237513,0.000237513
4,285.058,0.89873,2.45857,1.80548,0.01458,0.64109,0.31746,0.28271,0.22201,0.73896,1.97635,1.88383,0.01178,0.000301865,0.000301865,0.000301865
5,337.083,0.82335,2.14384,1.76542,0.01266,0.5223,0.407,0.33826,0.28182,0.6557,1.87075,1.54363,0.01188,0.000357219,0.000357219,0.000357219
6,389.458,0.78038,1.93501,1.60451,0.01554,0.52236,0.48747,0.38988,0.3313,0.61103,1.73657,1.45178,0.00793,0.000403573,0.000403573,0.000403573
7,441.921,0.74664,1.75438,1.49853,0.0136,0.40796,0.5919,0.45528,0.39057,0.59028,1.60635,1.35592,0.01003,0.000440929,0.000440929,0.000440929
8,489.86,0.74721,1.68996,1.50742,0.01317,0.48661,0.57211,0.53536,0.46534,0.56368,1.42049,1.29285,0.00954,0.000469285,0.000469285,0.000469285
9,536.665,0.7276,1.52879,1.39724,0.01059,0.62595,0.53406,0.56738,0.49745,0.53451,1.06464,1.25594,0.00691,0.000488642,0.000488642,0.000488642
10,585.526,0.67547,1.38388,1.35664,0.01161,0.60239,0.54611,0.59258,0.51636,0.54849,0.96598,1.24765,0.00614,0.000499,0.000499,0.000499
11,696.26,0.57442,1.40024,1.27997,0.00764,0.70282,0.54017,0.60326,0.5278,0.54015,0.9006,1.23085,0.00602,0.000459045,0.000459045,0.000459045
12,789.115,0.57145,1.41141,1.2595,0.00738,0.66723,0.67996,0.6627,0.57735,0.55578,0.83304,1.26722,0.00513,0.000414049,0.000414049,0.000414049
13,868.304,0.55023,1.25743,1.23832,0.00809,0.74114,0.62834,0.68714,0.61218,0.4858,0.75752,1.16354,0.00515,0.000369054,0.000369054,0.000369054
14,950.835,0.52838,1.20004,1.2215,0.00824,0.84265,0.63358,0.73066,0.65327,0.47987,0.70142,1.14614,0.00642,0.000324058,0.000324058,0.000324058
15,1021.83,0.53162,1.12156,1.19681,0.00956,0.82788,0.68648,0.75176,0.67182,0.47659,0.67568,1.14213,0.00587,0.000279063,0.000279063,0.000279063
16,1088.11,0.50934,1.11022,1.20977,0.00779,0.87665,0.71633,0.79261,0.71563,0.47273,0.64258,1.13573,0.00486,0.000234068,0.000234068,0.000234068
17,1163.62,0.50976,1.06735,1.20914,0.00822,0.90488,0.7379,0.83373,0.74834,0.47561,0.62365,1.12809,0.00499,0.000189072,0.000189072,0.000189072
18,1262.61,0.48259,1.01443,1.17166,0.00641,0.90816,0.73527,0.83824,0.7562,0.45934,0.61084,1.11286,0.00505,0.000144077,0.000144077,0.000144077
19,1346.4,0.47798,1.0145,1.17028,0.00583,0.912,0.72032,0.82897,0.74968,0.45632,0.61847,1.11054,0.00497,9.9081e-05,9.9081e-05,9.9081e-05
20,1409.15,0.4776,0.97507,1.13815,0.00563,0.93453,0.72911,0.83434,0.7535,0.45331,0.59365,1.10856,0.00486,5.40855e-05,5.40855e-05,5.40855e-05
