Archivo_Original,Codigo_Texto,Clase_Inventario,Tipo_Codigo,Numero_Recorte
218.jpg,011076,2025,QRCODE,1
219.jpg,011496,2025,QRCODE,1
219.jpg,011496,2025,CODE128,1
219.jpg,740880370564,sbn,QRCODE,2
219.jpg,740880370564,sbn,CODE128,2
219.jpg,008443,2023,CODE128,4
219.jpg,3490,2020,CODE39,5
220.jpg,008875,2023,CODE128,1
220.jpg,740895000930,sbn,QRCODE,2
220.jpg,740895000930,sbn,CODE128,2
220.jpg,011495,2025,QRCODE,3
220.jpg,011495,2025,CODE128,3
220.jpg,22001473,2022,CODE128,4
220.jpg,3392,2021,CODE128,5
220.jpg,3392,2023,CODE128,6
221.jpg,740895000930,sbn,QRCODE,1
221.jpg,740895000930,sbn,CODE128,1
221.jpg,011495,2025,QRCODE,2
221.jpg,011495,2025,CODE128,2
221.jpg,3515,2020,CODE39,3
221.jpg,3392,2021,CODE128,4
223.jpg,011494,2025,QRCODE,1
223.jpg,740880370667,sbn,CODE128,2
224.jpg,011494,2025,QRCODE,1
224.jpg,011494,2025,CODE128,1
224.jpg,740880370667,sbn,CODE128,2
225.jpg,011494,2025,QRCODE,1
225.jpg,011494,2025,CODE128,1
225.jpg,740880370667,sbn,CODE128,2
226.jpg,740899501029,sbn,CODE128,1
226.jpg,011493,2025,QRCODE,2
226.jpg,011493,2025,CODE128,2
227.jpg,011493,2025,QRCODE,1
227.jpg,011493,2025,CODE128,1
227.jpg,740899501029,sbn,QRCODE,2
227.jpg,740899501029,sbn,CODE128,2
228.jpg,740899501065,sbn,QRCODE,1
229.jpg,011230,2025,QRCODE,2
229.jpg,011230,2025,CODE128,2
230.jpg,011229,2025,QRCODE,2
230.jpg,011229,2025,CODE128,2
231.jpg,011231,2025,QRCODE,1
231.jpg,011231,2025,CODE128,1
232.jpg,011231,2025,QRCODE,1
232.jpg,011231,2025,CODE128,1
232.jpg,740880370705,sbn,CODE128,2
233.jpg,011231,2025,QRCODE,1
233.jpg,011231,2025,CODE128,1
233.jpg,740880370705,sbn,CODE128,2
234.jpg,003372,2025,QRCODE,1
234.jpg,003372,2025,CODE128,1
234.jpg,2508,2020,CODE39,2
234.jpg,005382,2023,CODE128,4
234.jpg,742232610002,sbn,CODE128,5
234.jpg,00802,sbn,CODE128,7
235.jpg,003372,2025,QRCODE,2
235.jpg,003372,2025,CODE128,2
235.jpg,22004807,2022,CODE128,3
235.jpg,005382,2023,CODE128,4
235.jpg,00011,sbn,CODE128,7
235.jpg,00802,sbn,CODE128,9
236.jpg,011500,2025,CODE128,2
237.jpg,740899501095,sbn,QRCODE,1
237.jpg,011500,2025,QRCODE,2
237.jpg,011500,2025,CODE128,2
237.jpg,011500,sbn,QRCODE,3
237.jpg,011500,sbn,CODE128,3
238.jpg,740895001201,sbn,CODE128,1
238.jpg,011499,2025,QRCODE,2
238.jpg,011499,2025,CODE128,2
239.jpg,740895001201,sbn,CODE128,1
239.jpg,011499,2025,QRCODE,2
239.jpg,011499,2025,CODE128,2
239.jpg,,2025,CODE128,2
240.jpg,011499,2025,QRCODE,1
240.jpg,740895001201,sbn,CODE128,2
241.jpg,011497,2025,CODE128,2
242.jpg,011497,2025,QRCODE,1
242.jpg,740880370735,sbn,CODE128,2
244.jpg,740899501041,sbn,CODE128,1
244.jpg,011065,2025,QRCODE,2
244.jpg,011065,2025,CODE128,2
245.jpg,740895001017,sbn,QRCODE,2
245.jpg,740895001017,sbn,CODE128,2
246.jpg,740895001017,sbn,QRCODE,1
246.jpg,740895001017,sbn,CODE128,1
246.jpg,8562,2020,CODE39,2
246.jpg,011063,2025,QRCODE,3
246.jpg,011063,2025,CODE128,3
247.jpg,008977,2023,CODE128,1
247.jpg,740880370635,sbn,CODE128,2
247.jpg,8547,2020,CODE39,4
247.jpg,3313,2021,CODE128,5
247.jpg,3313,2022,CODE128,6
248.jpg,008977,2023,CODE128,1
248.jpg,740880370635,sbn,QRCODE,2
248.jpg,740880370635,sbn,CODE128,2
248.jpg,011064,2025,QRCODE,3
248.jpg,011064,2025,CODE128,3
249.jpg,740880370635,sbn,QRCODE,1
249.jpg,740880370635,sbn,CODE128,1
249.jpg,011064,2025,QRCODE,2
249.jpg,011064,2025,CODE128,2
249.jpg,008977,2023,CODE128,3
250.jpg,008977,2023,CODE128,1
250.jpg,3313,2021,CODE128,4
250.jpg,3313,2022,CODE128,8
251.jpg,740899501048,sbn,CODE128,1
251.jpg,011225,2025,QRCODE,2
251.jpg,011225,2025,CODE128,2
254.jpg,011226,2025,QRCODE,1
254.jpg,740895001136,sbn,QRCODE,2
254.jpg,740895001136,sbn,CODE128,2
255.jpg,011226,2025,QRCODE,1
255.jpg,740895001136,sbn,CODE128,2
256.jpg,011226,2025,QRCODE,1
256.jpg,011226,2025,CODE128,1
257.jpg,008496,2023,CODE128,1
257.jpg,740880370607,sbn,QRCODE,2
257.jpg,011227,2025,QRCODE,5
257.jpg,011227,2025,CODE128,5
258.jpg,008496,2023,CODE128,1
258.jpg,011227,2025,QRCODE,4
258.jpg,011227,2025,CODE128,4
258.jpg,3703,2020,CODE39,5
259.jpg,740880370607,sbn,CODE128,2
261.jpg,011201,2025,QRCODE,1
261.jpg,011201,2025,CODE128,1
261.jpg,740899501075,sbn,CODE128,2
262.jpg,740895001160,sbn,QRCODE,1
262.jpg,740895001160,sbn,CODE128,1
262.jpg,011067,2025,QRCODE,2
262.jpg,011067,2025,CODE128,2
263.jpg,011067,2025,QRCODE,2
264.jpg,011068,2025,QRCODE,1
264.jpg,011068,2025,CODE128,1
265.jpg,740880370693,sbn,CODE128,1
265.jpg,011068,2025,QRCODE,2
265.jpg,011068,2025,CODE128,2
266.jpg,740880370693,sbn,CODE128,1
266.jpg,011068,2025,QRCODE,2
266.jpg,011068,2025,CODE128,2
267.jpg,740899501033,sbn,QRCODE,1
267.jpg,740899501033,sbn,CODE128,1
267.jpg,011460,2025,QRCODE,2
267.jpg,011460,2025,CODE128,2
268.jpg,740899501033,sbn,QRCODE,1
268.jpg,740899501033,sbn,CODE128,1
268.jpg,011460,2025,QRCODE,2
268.jpg,011460,2025,CODE128,2
269.jpg,740880370674,sbn,CODE128,1
270.jpg,740880370674,sbn,CODE128,1
271.jpg,740880370673,sbn,CODE128,1
271.jpg,011462,2025,QRCODE,2
271.jpg,011462,2025,CODE128,2
