epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6751,1.57255,4.2475,2.95707,0.08181,0.08386,0.29989,0.12465,0.06182,1.1208,3.17005,1.96414,0.02919,0.00012726,0.00012726,0.00012726
2,60.6627,1.06578,3.13635,2.32565,0.01894,0.84543,0.2747,0.2794,0.22124,0.81356,3.26542,1.48856,0.0287,0.000253171,0.000253171,0.000253171
3,80.2843,0.92847,2.50864,1.97629,0.01105,0.49798,0.40415,0.31425,0.25191,0.87018,2.33348,1.49698,0.03754,0.000368283,0.000368283,0.000368283
4,99.1259,0.87119,2.1568,1.84169,0.01039,0.38134,0.53357,0.33826,0.28385,0.78771,2.41312,1.38854,0.03806,0.000472596,0.000472596,0.000472596
5,117.406,0.82324,2.02384,1.80069,0.00754,0.40566,0.40527,0.4064,0.34385,0.72818,2.45661,1.30891,0.03932,0.000566111,0.000566111,0.000566111
6,136.033,0.79206,1.79042,1.69287,0.00645,0.70561,0.4287,0.48768,0.40915,0.72941,1.91733,1.34258,0.03919,0.000648826,0.000648826,0.000648826
7,155.562,0.76762,1.71868,1.66925,0.00658,0.80664,0.43687,0.58331,0.49451,0.71977,1.49719,1.28258,0.03746,0.000693022,0.000693022,0.000693022
8,182.173,0.77138,1.57584,1.63142,0.00547,0.58413,0.5657,0.62902,0.53825,0.67685,1.3534,1.23712,0.03597,0.000657025,0.000657025,0.000657025
9,205.399,0.71491,1.41693,1.59308,0.00656,0.5153,0.74136,0.67686,0.57101,0.69835,1.09597,1.27029,0.03414,0.000621029,0.000621029,0.000621029
10,224.278,0.7475,1.32668,1.54647,0.00683,0.54793,0.6596,0.71016,0.60102,0.68869,0.97691,1.24667,0.03264,0.000585032,0.000585032,0.000585032
11,239.779,0.712,1.206,1.53228,0.00625,0.82611,0.64613,0.75651,0.64309,0.69731,0.84587,1.26631,0.03411,0.000549036,0.000549036,0.000549036
12,255.22,0.66376,1.15362,1.46023,0.00498,0.72512,0.76809,0.8038,0.68765,0.68047,0.82689,1.23745,0.03473,0.00051304,0.00051304,0.00051304
13,271.007,0.67423,1.09278,1.48057,0.00638,0.83965,0.77482,0.85115,0.72026,0.68694,0.76511,1.24943,0.03482,0.000477043,0.000477043,0.000477043
14,286.679,0.62459,1.00321,1.47162,0.00583,0.8436,0.79415,0.89336,0.76792,0.66809,0.72438,1.20561,0.03282,0.000441047,0.000441047,0.000441047
15,302.94,0.65674,1.02191,1.47641,0.00503,0.86639,0.86651,0.92487,0.79117,0.67249,0.6635,1.23779,0.03205,0.00040505,0.00040505,0.00040505
16,371.96,0.57288,1.0182,1.42642,0.0073,0.87989,0.88256,0.93431,0.78553,0.75303,0.76353,1.38666,0.03269,0.000369054,0.000369054,0.000369054
17,389.364,0.54443,0.97305,1.40024,0.00601,0.85421,0.87514,0.93708,0.80392,0.6545,0.6793,1.20588,0.03279,0.000333058,0.000333058,0.000333058
18,404.987,0.5338,0.8942,1.39455,0.00629,0.84078,0.94385,0.94348,0.80787,0.65144,0.60801,1.18656,0.03194,0.000297061,0.000297061,0.000297061
19,420.452,0.54379,0.84048,1.3662,0.00679,0.84584,0.90777,0.94588,0.81313,0.6381,0.62977,1.1855,0.03131,0.000261065,0.000261065,0.000261065
20,435.98,0.52545,0.83994,1.37802,0.00507,0.86718,0.9134,0.94949,0.82152,0.62094,0.62067,1.16364,0.02656,0.000225068,0.000225068,0.000225068
21,451.554,0.51953,0.81827,1.36198,0.00476,0.89023,0.89454,0.9525,0.82652,0.63023,0.61005,1.19248,0.02412,0.000189072,0.000189072,0.000189072
22,467.731,0.50422,0.78449,1.35933,0.00421,0.87289,0.94438,0.95815,0.8302,0.63956,0.59094,1.18755,0.02434,0.000153076,0.000153076,0.000153076
23,483.971,0.52006,0.74561,1.33561,0.00592,0.8668,0.95331,0.96193,0.83911,0.6143,0.57052,1.15183,0.02492,0.000117079,0.000117079,0.000117079
24,505.499,0.4992,0.73632,1.31026,0.00484,0.87213,0.96385,0.96065,0.8377,0.60708,0.56365,1.15258,0.02564,8.10828e-05,8.10828e-05,8.10828e-05
25,531.016,0.48972,0.74523,1.35234,0.00499,0.87366,0.96669,0.96046,0.83347,0.6078,0.55963,1.15596,0.02544,4.50864e-05,4.50864e-05,4.50864e-05
